+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+     Fluorescense progressions used for the fit of the potentials published in the
+     article 'The 1S+1S asymptote of Sr2 studied by Fourier-transform spectroscopy' 
+   
+
+  A. Stein, H. Knoeckel, E. Tiemann
+  Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+  30167 Hannover, Germany
+   
+
+  2006-2010 Hannover
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations:

Isotope 1 and 2:  mass numbers of the isotopes

v', J', v", J":   vibrational and rotational quantum numbers of the excited and
                  absorbing level, respectively. 
				  v'=-1 means that the vibrational quantum number of the excited 
				  state is not assigned until now or that the transition belongs 
				  to a different excited state. PA means that the transitions is 
                  a PA resonance taken from Phys. Rev. A 78, 062708 (2008)				  

line frequency:   frequency of transition [cm-1]

uncertainty:      The estimated experimental uncertainty of transition [cm-1] 

obs-calc:         observed minus calculated values for the potential fit of the ground state 


 Isotope 1   Isotope 2   v'  J'  v''  J''   line frequency   uncertainty  obs-calc
        86          88   1  112  32   111       16731.5757        0.005   -0.0033
        86          88   1  112  32   113       16727.0980        0.005   -0.0008
        86          88   1  112  33   111       16720.0949        0.005   -0.0029
        86          88   1  112  33   113       16715.7653        0.005    0.0010
        86          88   1  112  35   111       16699.5975        0.005    0.0008
        86          88   1  112  35   113       16695.5689        0.005   -0.0076
        86          88   1  130   2   129       17474.5305        0.010    0.0179
        86          88   1  130   2   131       17465.7137        0.005   -0.0134
        86          88   1  130   3   129       17439.4361        0.005   -0.0017
        86          88   1  130   3   131       17430.7469        0.005   -0.0045
        86          88   1  130   5   129       17371.8191        0.005    0.0035
        86          88   1  130   5   131       17363.3298        0.005   -0.0016
        86          88   1  130   6   129       17339.2695        0.005    0.0025
        86          88   1  130   6   131       17330.8870        0.005    0.0010
        86          88   1  130   7   129       17307.5586        0.005   -0.0003
        86          88   1  130   7   131       17299.2815        0.005   -0.0010
        86          88   1  130   8   131       17268.5207        0.005    0.0008
        86          88   1  130   9   129       17246.6640        0.005    0.0038
        86          88   1  130   9   131       17238.5983        0.005    0.0011
        86          88   1  130  10   129       17217.4683        0.005    0.0012
        86          88   1  130  10   131       17209.5155        0.005    0.0024
        86          88   1  130  11   129       17189.1120        0.005    0.0023
        86          88   1  130  11   131       17181.2659        0.005   -0.0004
        86          88   1  130  12   129       17161.5886        0.005    0.0018
        86          88   1  130  12   131       17153.8585        0.005    0.0029
        86          88   1  130  13   129       17134.9033        0.005    0.0064
        86          88   1  130  13   131       17127.2859        0.010    0.0064
        86          88   1  130  19   129       16992.1785        0.005    0.0022
        86          88   1  130  19   131       16985.2907        0.010    0.0086
        86          88   1  130  20   129       16971.2851        0.005    0.0024
        86          88   1  130  20   131       16964.5211        0.005    0.0044
        86          88   1  130  21   129       16951.2107        0.005   -0.0032
        86          88   1  130  21   131       16944.5734        0.005   -0.0053
        86          88   1  130  22   129       16931.9697        0.005   -0.0001
        86          88   1  130  22   131       16925.4671        0.005   -0.0011
        86          88   1  130  23   129       16913.5469        0.005   -0.0040
        86          88   1  130  23   131       16907.1851        0.005   -0.0007
        86          88   1  130  24   129       16895.9571        0.005   -0.0007
        86          88   1  130  24   131       16889.7323        0.005   -0.0003
        86          88   1  130  25   129       16879.1927        0.005    0.0007
        86          88   1  130  25   131       16873.1130        0.005    0.0027
        86          88   1  130  26   129       16863.2548        0.005   -0.0007
        86          88   1  130  26   131       16857.3200        0.005   -0.0012
        86          88   1  130  27   129       16848.1490        0.005   -0.0021
        86          88   1  130  27   131       16842.3616        0.005   -0.0071
        86          88   1  130  28   129       16833.8848        0.005    0.0024
        86          88   1  130  28   131       16828.2584        0.005    0.0015
        86          88   1  130  29   129       16820.4550        0.005    0.0005
